User_ID,Num_Bets,Bet_Amount,Odds,Implied_Probabilities,Combined_Probability,Combined_Odds,Vig,Outcomes,Commission,Effective_Bet_Amount,Payout,Profit,Net_Profit,Cumulative_Profit
69,2,370.44,[-400  110],"[0.8, 0.47619047619047616]",0.38095238095238093,2.625,0.2761904761904761,"['Loss', 'Loss']",37.044000000000004,333.396,0.0,-370.44,333.396,-370.44
65,2,205.18,[-120 -105],"[0.5454545454545454, 0.5121951219512195]",0.2793791574279379,3.5793650793650795,0.05764966740576494,"['Loss', 'Loss']",20.518,184.662,0.0,-205.18,184.662,-575.62
50,2,462.33,[180 100],"[0.35714285714285715, 0.5]",0.17857142857142858,5.6,-0.1428571428571428,"['Loss', 'Win']",46.233000000000004,416.097,0.0,-462.33,416.097,-1037.95
22,2,101.86,[-105 -105],"[0.5121951219512195, 0.5121951219512195]",0.26234384295062463,3.811791383219955,0.024390243902439046,"['Win', 'Loss']",10.186,91.674,0.0,-101.86,91.674,-1139.81
59,4,39.31,[ 115 -150 -105  500],"[0.46511627906976744, 0.6, 0.5121951219512195, 0.16666666666666666]",0.023823028927963695,41.97619047619048,0.7439780676876537,"['Loss', 'Win', 'Loss', 'Loss']",3.9310000000000005,35.379000000000005,0.0,-39.31,35.379000000000005,-1179.12
17,5,433.06,[-120  180 -500  180  115],"[0.5454545454545454, 0.35714285714285715, 0.8333333333333334, 0.35714285714285715, 0.46511627906976744]",0.026966389092634938,37.083200000000005,1.5581898721433607,"['Loss', 'Loss', 'Win', 'Loss', 'Win']",43.306000000000004,389.754,0.0,-433.06,389.754,-1612.1799999999998
52,3,475.95,[ 110 -105 -450],"[0.47619047619047616, 0.5121951219512195, 0.8181818181818182]",0.19955654101995565,5.011111111111111,0.8065674163235139,"['Win', 'Loss', 'Win']",47.595,428.355,535.44375,59.493750000000034,-583.03875,-1552.6862499999997
18,6,104.76,[-450 -150  300 -105  500 -150],"[0.8181818181818182, 0.6, 0.25, 0.5121951219512195, 0.16666666666666666, 0.6]",0.006286031042128603,159.08289241622575,1.9470436067997046,"['Win', 'Win', 'Win', 'Loss', 'Loss', 'Win']",10.476,94.284,37.71360000000001,-67.0464,-48.189600000000006,-1619.7326499999997
60,4,222.24,[ 110 -120  105  105],"[0.47619047619047616, 0.5454545454545454, 0.4878048780487805, 0.4878048780487805]",0.06180612962290535,16.179625,0.9972547777425826,"['Win', 'Loss', 'Loss', 'Win']",22.224000000000004,200.01600000000002,0.0,-222.24,200.01600000000002,-1841.9726499999997
92,5,166.0,[ 105 -120 -200 -500 -105],"[0.4878048780487805, 0.5454545454545454, 0.6666666666666666, 0.8333333333333334, 0.5121951219512195]",0.07571250878805906,13.207857142857142,2.0454545454545454,"['Win', 'Loss', 'Win', 'Win', 'Win']",16.6,149.4,298.8,132.8,-315.40000000000003,-1709.1726499999997
67,4,328.59,[-120  300  400 -450],"[0.5454545454545454, 0.25, 0.2, 0.8181818181818182]",0.02231404958677686,44.81481481481482,0.8136363636363635,"['Win', 'Loss', 'Loss', 'Loss']",32.859,295.731,0.0,-328.59,295.731,-2037.7626499999997
31,4,178.06,[-450 -105 -450 -150],"[0.8181818181818182, 0.5121951219512195, 0.8181818181818182, 0.6]",0.20572465228784523,4.8608661571624525,1.7485587583148563,"['Win', 'Win', 'Win', 'Win']",17.806,160.254,801.27,623.21,-819.076,-1414.5526499999996
88,5,325.06,[-150 -200 -450  180  220],"[0.6, 0.6666666666666666, 0.8181818181818182, 0.35714285714285715, 0.3125]",0.036525974025974024,27.37777777777778,1.7544913419913422,"['Loss', 'Loss', 'Win', 'Win', 'Loss']",32.506,292.554,0.0,-325.06,292.554,-1739.6126499999996
65,3,498.22,[ 300  400 -450],"[0.25, 0.2, 0.8181818181818182]",0.040909090909090916,24.44444444444444,0.2681818181818183,"['Loss', 'Win', 'Win']",49.822,448.398,560.4975000000001,62.27750000000003,-610.3195000000001,-1677.3351499999994
