User_ID,Num_Bets,Bet_Amount,Odds,Adjusted_Odds,Implied_Probabilities,Combined_Probability,Combined_Odds,Vig,Overall_Result
52,6,81.33,[ 110 -200  210  210  160 -150],"[-254.43321304174967, 124.04777717202755, -222.643348638838, -222.643348638838, -231.98249100794823, 134.85788507240088]","[0.7178593982719651, 0.4463333725610603, 0.6900602463311944, 0.6900602463311944, 0.6987792949670776, 0.42578940864247533]",0.045394961417078376,22.028876526895395,2.668881967104967,Loss
93,6,417.26,[ 160 -150  210 -150 -200  210],"[-230.20248861023353, 132.8779858462823, -221.4676653279056, 132.8779858462823, 122.78562568757478, -221.4676653279056]","[0.6971555229008627, 0.42940941642293246, 0.6889267233206882, 0.42940941642293246, 0.44886199318907494, 0.6889267233206882]",0.027386194982481453,36.5147476909328,2.382689795577179,Loss
15,2,180.86,[ 210 -150],"[-324.64933607630445, 448.0417754569189]","[0.7645115828415396, 0.18246784182944265]",0.13949877857470688,7.168521547050407,-0.053020575329017716,Loss
72,5,206.07,[-120 -150 -150  110  110],"[149.71322182517042, 136.17393204413852, 136.17393204413852, -256.7995974336394, -256.7995974336394]","[0.40045937203121806, 0.4234167553314521, 0.4234167553314521, 0.7197306254848036, 0.7197306254848036]",0.03719071324654134,26.88843296365116,1.6867541336637295,Loss
61,3,448.09,[-200 -200 -120],"[140.07342558599265, 140.07342558599265, 191.13680154142583]","[0.4165392306787437, 0.4165392306787437, 0.343481138318994]",0.059595671098884306,16.77974224572028,0.1765595996764815,Loss
21,5,253.35,[ 110  160 -200 -200  110],"[-257.7223779318483, -233.61972678065126, 125.2012623172538, 125.2012623172538, -257.7223779318483]","[0.7204536082474227, 0.7002575328354366, 0.4440472445448566, 0.4440472445448566, 0.7204536082474227]",0.07166847935715158,13.953135450476292,2.029259238419995,Loss
83,5,276.68,[ 110 -120  110 -150  210],"[-267.71833738938585, 158.7592440145042, -267.71833738938585, 142.064087274754, -226.8222011655941]","[0.7280527245120562, 0.3864596234266116, 0.7280527245120562, 0.41311373829070047, 0.6940232345190893]",0.058731817023843745,17.0265462686779,1.9497020452605138,Loss
87,5,478.68,[ 160  210 -150 -150  210],"[-243.12691942042835, -229.7987735884746, 147.36381774947384, 147.36381774947384, -229.7987735884746]","[0.7085626503192789, 0.6967848033153066, 0.404262842115731, 0.404262842115731, 0.6967848033153066]",0.05622160589324866,17.78675624987945,1.9106579411813538,Loss
75,2,444.5,[-150 -200],"[230.30303030303028, 173.71428571428572]","[0.30275229357798167, 0.36534446764091855]",0.1106088755243148,9.0408658008658,-0.33190323878109984,Loss
75,2,93.04,[ 210 -150],"[-324.64933607630445, 448.0417754569189]","[0.7645115828415396, 0.18246784182944265]",0.13949877857470688,7.168521547050407,-0.053020575329017716,Loss
88,3,241.88,[-200  110  160],"[154.294435965034, -377.62142532909667, -278.52699177202487]","[0.393244939160801, 0.7906291579547614, 0.7358180468667161]",0.22877386231216715,4.371128720270837,0.9196921439822785,Loss
100,5,485.94,[ 160 -150  160 -200  110],"[-236.51072088379644, 139.9163521371009, -236.51072088379644, 127.22086956521738, -263.67364207374624]","[0.7028326475383472, 0.41681193928313276, 0.7028326475383472, 0.4401004194348345, 0.7250281889284628]",0.06569777763549292,15.221215024170842,1.9876058427231245,Loss
24,2,192.46,[-150 -120],"[267.1378091872791, 458.87708649468885]","[0.27237728585178056, 0.1789302199294054]",0.04873652766123361,20.518490914062962,-0.548692494218814,Loss
3,3,192.07,[210 160 160],"[-288.27364882074266, -359.99446034530513, -359.99446034530513]","[0.7424496864422345, 0.7826060776363856, 0.7826060776363856]",0.4547298468603308,2.1991079030867917,1.3076618417150057,Win
22,3,105.56,[-150  210  210],"[235.60528992878938, -269.8125065465591, -269.8125065465591]","[0.2979690815398606, 0.7295927037897241, 0.7295927037897241]",0.15861058493331487,6.304749461837197,0.7571544891193087,Win
53,5,66.02,[ 160  160 -120  210 -200],"[-241.1673576401462, -241.1673576401462, 163.62003998384625, -228.56566976521842, 130.42855934228078]","[0.7068887226149074, 0.7068887226149074, 0.37933383215527794, 0.695646839575612, 0.4339739843248295]",0.05722373444067813,17.475266334403,1.9227321012855345,Loss
2,4,372.75,[-150 -150 -120 -120],"[145.52454282964388, 145.52454282964388, 164.2139560141189, 164.2139560141189]","[0.4072912583300667, 0.4072912583300667, 0.37848114273969785, 0.37848114273969785]",0.023762857873752583,42.082480369693094,0.5715448021395291,Loss
88,5,387.31,[-200  110 -150  210  160],"[128.1037938024906, -266.35562892968227, 141.34488552896627, -226.41205178463105, -237.78445885458297]","[0.4383969171796744, 0.7270411804722295, 0.4143448069381109, 0.6936387628665724, 0.7039532240793522]",0.06448601789474045,15.507237578730397,1.9773748915359395,Loss
30,4,484.82,[-200 -150  210 -200],"[131.2788423934298, 146.55955291652114, -229.35218214647466, 131.2788423934298]","[0.43237850451486354, 0.40558152712848844, 0.6963736528227208, 0.43237850451486354]",0.05280179511389142,18.938750052778296,0.9667121889809365,Loss
38,3,388.97,[ 110  210 -150],"[-431.8568091838257, -257.72062007447823, 205.06699695980183]","[0.8119794683959062, 0.7204522345421973, 0.32779684789429003]",0.19175867210745828,5.214888010069329,0.8602285508323937,Loss
2,2,129.24,[160 210],"[-2102.1953896816703, -462.123733171986]","[0.9545907686172864, 0.8221032237231579]",0.7847721482166383,1.2742552118757755,0.7766939923404443,Loss
